,article_id,article_title,article_writer_nickname,article_writer_key,article_view,article_like,article_comment,article_datetime
0,964073484,맥북에어 2015 11인치 i5/4GB/128GB,리퍼노트북,PoL10DcANriQVuBCy1PNqQ,3,0,0,2023-01-02 11:51:52
1,964073327,[판매] i5사무용 도매가로 판매 대량환영 렌탈환영,사천썬컴퓨터,TQ-eG5qwGoJjpc0mNiFWww,1,0,0,2023-01-02 11:51:04
2,964072825,[판매] 삼성 노트북9 i5 슬림 램8G SSD256G 윈11,하프북 0263396500,gYPxnMCe-gceUXOF9voDoQ,4,0,0,2023-01-02 11:48:37
3,964072127,마이크로소프트 서피스 프로 8 미개봉 그래파이트 • 코어i5 11세대 • 256GB • 16GB • WIN11 Home 슬림펜2 + 블랙타입 커버 포함,설날송편,Q9_CYg4zQxOFOQjAukN7tw,10,0,0,2023-01-02 11:45:08
4,964071963,갤럭시북2 프로360 nt951qed-k08/c /ram16g/ssd512g/i5/네고x,arek999,GWu5UtEFRFdIsFN4Fp5DaQ,7,0,0,2023-01-02 11:44:19
5,964071814,엘지 노트북 그램 43.1cm(17/i5/16GB/512GB),dhwfysu,RW5rOY7q7_6aOlZ8OLuXsA,4,0,0,2023-01-02 11:43:41
6,964071739,[판매]5 삼성노트북 i5 고성능 깔끔블랙/큰화면/FHD/속도굿,노트북플라자,5245CmaHf77l_WE5nkzl6g,4,0,0,2023-01-02 11:43:25
7,964071001,"(개인) 사무실에서 사용하던 본체 팝니다. (i5-9400F, 램16G, GTX 1660 SUPER 6G ,SSD 240G)",예주맘218,3tp9g1IJRRwD6WIt8_h70Q,9,0,0,2023-01-02 11:39:55
8,964069653,[판매] 납품 취소된 컴퓨터 떨이합니다. i5-7500,대전아이티월드,huNvJA7725bHwj7zgSNxVw,6,0,0,2023-01-02 11:33:58
9,964068573,"도시바 윈도우 태블릿 i5 wt310 11.6인치 회의용,업무용 최저가",인생오뚜기,mA2fmT2eDi7S2MInDHbhjA,2,0,0,2023-01-02 11:28:58
10,964068518,글카X 본체 판매합니다 인텔 I5 10400f,육군 뱅장,kX7iQYJEdoMpWy7SMz-oaw,17,0,0,2023-01-02 11:28:43
11,964067762,[판매] i5 모든사양 도매가로 넘겨드립니다,사천썬컴퓨터,TQ-eG5qwGoJjpc0mNiFWww,1,0,0,2023-01-02 11:25:11
12,964067301,[판매] 삼성 노트북 SSD i5 램 8G 용량 628G 윈10,하프북 0263396500,gYPxnMCe-gceUXOF9voDoQ,5,0,0,2023-01-02 11:22:52
13,964067152,(개인거래)15zb90q-gp56ml// 2022 엘지그램 미개봉 판매합니다. 15인치 i5-12세대 램16-ssd256,수기수기다르,KFRY180WRQU4yg3q_iHhWQ,4,0,0,2023-01-02 11:22:09
14,964066383,[판매] i5 4670 6500 7500 9400F 게이밍 데스크탑 판매!,디아이피씨,8pulbEs4kRkZwdzFr7NqTg,5,0,0,2023-01-02 11:18:17
15,964066255,(영상프로그램1년이용권포함) 미개봉 엘지그램 15인치 i5기본사양 판매합니다. (15zb95n-gp50ml),하나빠당요,ZgbaBR8JwTsqsVrQt71UFg,5,0,0,2023-01-02 11:17:47
16,964066220,i5 4460 + 1050ti + 8g + SSD 250G +HDD 500G 본체 팝니다.,솜사탕총알,-nZ9x_CBXhcqMZpCc7N-wA,7,0,0,2023-01-02 11:17:37
17,964065655,LG전자 2021 그램16 16ZD90P-GX5TK (i5/16GB),베이직스,Qi3TW6xdpJqmJLCFDRYTMw,1,0,0,2023-01-02 11:15:12
18,964065610,Acer Aspire5 14인치 노트북 Intel 11세대 i5-1135G7 20GB램 256GB SSD 윈11홈,16A250V,9bfll8oVIEw6uU9vV5YHOg,12,0,0,2023-01-02 11:15:01
19,964065455,"LG 울트라기어 노트북(15UD70P-PX50K) i5-1135G7,외장그래픽,16G램,256G,윈도우10프로,가방)",LuckyDay365,XXseNAfVd9LfwAquMVFRjg,7,0,0,2023-01-02 11:14:19
20,964065439,델 인스피론 라이젠5 4세대 노트북 i5 11세대보다 상위 고사양,meanyou21,x0QkkijR-Mf2aUwmsUyzKQ,6,0,0,2023-01-02 11:14:15
21,964065405,레노버 lenovo thinkpad 씽크패드 x1 carbon 카본 6세대 I5 8세대,코코일링,XNsRHRh9JnFL_Y4VD9BzjQ,9,0,0,2023-01-02 11:14:06
22,964065353,i5 4690 GTX750 개인 데스크탑 컴퓨터 본체 팝니다,슈바이55,WeGO6JsZ3WkMBLYdAL9IZg,6,0,0,2023-01-02 11:13:54
23,964065205,i5 7500 1050ti 컴퓨터 본체 데스크탑 팝니다,별이된 엔류,uPaU_huw9GZJkZb4hZTJHg,9,0,0,2023-01-02 11:13:14
24,964065176,"i5 2500, 8g램(ddr 4g+4g) 3만원",darkangel77,1xDGm7MeCZ0WaTaxHXzz8w,10,0,0,2023-01-02 11:13:08
25,964065094,"2019 아이맥 고급형 + 트랙패드 (27인치, i5, 24GB, 2TB, 라데온580X) - 170만원",stevepsh,Y3YWa4_ujM-xKQUiDo5vtw,6,0,0,2023-01-02 11:12:48
26,964065079,[판매]3 삼성노트북 ATIV i5 고클럭/성능/속도굿/큰화면,노트북플라자,5245CmaHf77l_WE5nkzl6g,6,0,0,2023-01-02 11:12:43
27,964064957,i5 9400f + b360m + 바다쿨러 세트 판매합니다,스트라이크 프리덤ㅎ,nJozBpZAfzNC0EM6XE4cnQ,42,0,0,2023-01-02 11:12:08
28,964064779,[판매] 핫딜 !! i5-10세대 i5 신품급 중고본체!!,사천썬컴퓨터,TQ-eG5qwGoJjpc0mNiFWww,3,0,0,2023-01-02 11:11:20
29,964064550,[판매] 사무용으로 쌩쌩한 i5 고급 사무용 데스크탑 세일합니다 !,FoxCom,_98VKD-qg6j44VQzPP8m-g,3,0,0,2023-01-02 11:10:20
